ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
75,simple,,"Vodka Cruiser Passionfruit 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/0016975_cruiser-5-pasionfruit-12pk-btls-275ml.jpg,,,,,,,,,0
76,simple,,"Vodka Cruiser Blueberry 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/0016974_cruiser-5-blueberry-12pk-bottles-275ml.jpg,,,,,,,,,0
80,simple,,Tui 24x330ml,1,0,visible,"Tui East India Pale Ale is a light, crisp, and delicately malted beer. After opening the screw cap and nursing your torn finger you should notice a distinct aroma of the Mangatainoka River. No? Rest the bottle neck gently under your nostril and give it another sniff, you’ll get it.",,,,taxable,,1,,,0,0,,,,,0,,,39.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/bca23dbf675de024d69a6e7fddefe785_f337.jpg,,,,,,,,,0
81,simple,,"Vodka Cruiser Lime 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/Cruiser-12pk-bottles-lime.jpg,,,,,,,,,0
82,simple,,"Vodka Cruiser Blackcurrant 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/CRUISER-BLACKCURRENT.jpg,,,,,,,,,0
86,simple,,Canadian Club 18 Pack Cans,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,37.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/Canadian-Club-18-Pack-Cans.jpg,,,,,,,,,0
87,simple,,"Vodka Cruiser Blackcurrant 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/Cruiser-12pk-CansBC.jpg,,,,,,,,,0
88,simple,,"Vodka Cruiser Mango 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/CRUISER-MANGO.jpg,,,,,,,,,0
93,simple,,"Vodka Cruiser Watermelon 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/CRUISER-WATERMELON-cans.jpg,,,,,,,,,0
94,simple,,"Vodka Cruiser ZERO TROPICAL 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/CRUISER-ZERO-TROPICAL.jpg,,,,,,,,,0
95,simple,,"Vodka Cruiser Raspberry 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/cruiserraspberrycans.png,,,,,,,,,0
96,simple,,"Vodka Cruiser Ice 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/CRUISERICE.jpg,,,,,,,,,0
102,simple,,"Vodka Cruiser Watermelon 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/CRUISER-WATERMELON.jpg,,,,,,,,,0
103,simple,,"Vodka Cruiser Ice 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/0016976_cruiser-7-ice-12pk-cans-250ml.png,,,,,,,,,0
104,simple,,"Vodka Cruiser Mango Raspberry 12 x 275ml Bottles, 5%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/SCRUMANRASP12.jpg,,,,,,,,,0
105,simple,,"Vodka Cruiser Lime 12 x 250ml Cans, 7%",1,0,visible,,Premium triple distilled vodka in a variety of unique flavours from the classic lemon-lime to juicy watermelon.,,,taxable,,1,,,0,0,,,,,0,,,24.99,RTD's,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/VC_12x250-7-Cool_lime_Cans-1.jpg,,,,,,,,,0
